page_no,price,beds,baths,house_area,id,address
18,199900,3,2,1140,zpid_10438265,"59 N 51st St, Philadelphia, PA"
18,849000,4,3,2113,zpid_10195881,"265 S 3rd St, Philadelphia, PA"
18,255000,2,2,755,zpid_10602891,"2135 Walnut St APT 203, Philadelphia, PA"
18,259900,3,2,1044,zpid_10303742,"2625 S Hicks St, Philadelphia, PA"
18,724900,5,5,4350,zpid_2084765097,"6401 Wissahickon Ave, Philadelphia, PA"
18,275000,2,1,708,zpid_2087592044,"329 Kater St # B, Philadelphia, PA"
18,249000,3,2,1523,zpid_10566474,"8667 Ferndale St, Philadelphia, PA"
18,410000,4,2,2520,zpid_2085067927,"229 S Farragut St, Philadelphia, PA"
18,145000,5,3,1,zpid_10289337,"5100 Whitaker Ave, Philadelphia, PA"
18,242000,3,2,1224,zpid_10525960,"9331 Outlook Ave, Philadelphia, PA"
18,125000,3,1,1213,zpid_10493066,"1330 Wells St, Philadelphia, PA"
18,235000,3,2,1360,zpid_10583093,"3586 Oakhill Rd, Philadelphia, PA"
18,109000,3,2,1254,zpid_10351534,"648 Kenmore Rd, Philadelphia, PA"
18,174900,3,3,1368,zpid_10346698,"7458 Brockton Rd, Philadelphia, PA"
18,299900,3,2,1160,zpid_80941004,"3813 Chalfont Dr, Philadelphia, PA"
18,750000,5,3,2110,zpid_10319735,"623 S 17th St, Philadelphia, PA"
19,150000,3,1,1104,zpid_10450396,"4527 Salmon St, Philadelphia, PA"
19,164900,4,2,1310,zpid_10343784,"6030 Clifford Ter, Philadelphia, PA"
19,199999,3,2,1172,zpid_10490015,"1323 Devereaux Ave, Philadelphia, PA"
19,450000,5,2,1935,zpid_10452363,"515 S 48th St, Philadelphia, PA"
19,234900,5,3,2000,zpid_10290867,"1226 Allengrove St, Philadelphia, PA"
19,59999,5,2,2082,zpid_10245874,"2618 N 17th St, Philadelphia, PA"
19,179900,3,1,1200,zpid_10512676,"7326 Lawndale Ave, Philadelphia, PA"
19,84900,2,1,62,zpid_10294879,"2435 E Ann St, Philadelphia, PA"
19,399900,3,2,1800,zpid_10399331,"2824 S 12th St, Philadelphia, PA"
19,64900,3,1,1254,zpid_10183657,"5943 Locust St, Philadelphia, PA"
19,849000,7,4,3849,zpid_10212825,"20 E Bells Mill Rd, Philadelphia, PA"
19,1950000,4,5,4160,zpid_80944784,"218 Gaskill St, Philadelphia, PA"
19,59900,4,2,1296,zpid_10375260,"1233 W Huntingdon St, Philadelphia, PA"
19,395000,2,2,1001,zpid_71249229,"1500 Chestnut St APT 13H, Philadelphia, PA"
19,230000,4,3,1200,zpid_10522233,"8831 Dewees St, Philadelphia, PA"
19,680000,3,3,1936,zpid_103779827,"1630 Catharine St, Philadelphia, PA"
19,219900,3,2,1791,zpid_10563491,"1002 Griffith St, Philadelphia, PA"
19,675000,4,3,2145,zpid_10243821,"2415 Fairmount Ave, Philadelphia, PA"
19,217000,3,2,1164,zpid_10520420,"2804 Sebring Rd, Philadelphia, PA"
19,750000,3,4,2483,zpid_122287507,"1124-34 N American St # 9, Philadelphia, PA"
19,435000,4,2,1504,zpid_10241511,"839 Corinthian Ave, Philadelphia, PA"
19,439900,2,1,1068,zpid_10322204,"530 S Taney St, Philadelphia, PA"
19,125000,3,2,1290,zpid_10336688,"1230 E Pike St, Philadelphia, PA"
